Namn,Org NR
Anokha AB,556688-0042
Arodis AB,559185-4749
Aura Cloud AB,559197-8746
Auxality AB,559031-4075
Avaya Sweden Aktiebolag,556589-4093
Avezio AB,559072-2483
Avista Time i Norden AB,556965-7710
Barkas Sweden AB,559058-1251
Beetroot AB,556812-8853
Bergman & Beving Aktiebolag,556034-8590
Betting Promotion Technologies (Bpt) AB,556666-0584
Board Scandinavian AB,559179-2774
Botello AB,559212-0850
Bovra Technologies AB,559299-7299
Brainville AB,556893-4680
Breefa AB,559378-7616
Brightanalytics Nordics AB,559239-3218
Buddywise AB,559254-9777
Bulbul AB,559300-2545
Bybrick Axakon AB,559016-6095
Bybrick Tech AB,559437-2103
Byon8 AB,559027-2430
Capelon AB,556515-6600
Capply AB,559357-0228
Capswe AB,559400-3559
Carmine Studios AB,559148-8225
Celeris AB,556719-7164
Centiglobe Technologies AB,556995-4463
Centus Consulting AB,556607-2079
Chambersign Sverige AB,559037-9029
Charpstar AB,559094-7395
Cityflow Technologies AB,559201-9011
Cloudwiser AB,559106-2616
Codeunit Solutions International AB,559108-6508
Cone Digital AB,559054-3210
Conversy AB,559277-4490
Costobocus AB,556994-4175
Coursio AB,556751-3212
Crossplatform Sweden AB,559118-8288
Cuebid Cloud Services AB,559355-1855
Cultor Team AB,556726-7371
Customized Innovations i Sverige AB,559122-5676
Cygrids Communications AB,556552-0540
Cykla Ã„r Lycka AB,559031-9447
Datakraft-It i Sverige AB,559114-5643
Datema Aktiebolag,556175-8482
Designit Sweden AB,556732-6870
Devcode Consulting 2 AB,559383-0663
Devise Stockholm AB,559028-6968
Digital New Agency Group AB,559030-1676
Dimah Group AB,556869-8004
Doit Multi-Cloud Sverige International AB,559300-7197
Donor4life AB,559199-6409
Driftify AB,559349-0831
Dynalab AB,556590-7010
Ebuilder Sweden AB,556595-2933
Ecom Solutions Europe AB,559318-0481
Ecomid AB,559428-6188
Econzulting Nordic AB,559239-4158
Efecte AB,556688-5553
Ekonomibolaget Notima AB,556745-6941
Ekzel AB,559116-1608
Embark Group Ab (Publ),559214-3316
Embeddedart Group AB,556849-1368
Enad Global 7 Ab (Publ),556923-2837
Enive AB,559338-1618
Epplus Software AB,559205-1980
Excedo Networks AB,556787-9944
Exceed Transport AB,559293-7220
Expeditious AB,559437-9553
Expektra AB,556818-0292
FalkÃ¶ga Tech Hub AB,559230-3456
Famous Last Words AB,559215-2200
Fastly Sweden AB,559183-4014
Filimundus AB,556813-9447
Fisk & Co Bi Crm AB,559189-3317
Flowtropolis AB,559123-5956
Freja Eid Sweden AB,559110-4806
Frends Professionals Services Sweden AB,559160-9093
Ftx Gruppen Sverige AB,556887-9687
Gds Productions AB,559101-6299
Geistt AB,556921-6897
Genera Networks AB,556676-1812
General Assurance & Support Solutions Sweden AB,556781-3315
Geofy AB,559435-0737
Giddir AB,559077-9251
Global Esports Education AB,556936-2907
Global Times Group AB,556600-9519
Great Graphics M. Dixon AB,559156-3480
Growhouse AB,559232-9592
H O S Sverige AB,559118-4618
Hackyard People AB,559061-2866
His Heminredning Sverige AB,556916-6431
Hot Help AB,559364-6333
Human It-Consulting Stockholm AB,556826-5440
Imitera AB,559176-3718
Inadra AB,559203-5975
Independent Tech Sweden AB,559326-7684
Infobase Sverige AB,556643-9252
Ingeborn Data AB,556937-1841
Innovationwow AB,559266-3511
Instructure Sweden AB,559000-6093
Intelite Consulting AB,556846-0736
Interverbum Technology AB,556570-4920
Intly AB,559253-8820
Ironstone AB,559059-1144
Isolve AB,556793-0598
It-Gen Aktiebolag,559266-7686
Itancan Consulting AB,556767-5052
Itegamax AB,559196-9455
Itka AB,556660-6595
Itmaskinen Consulting AB,556721-8358
Itologerna AB,556833-5789
Itoptmize Information Technology Services Sverige AB,559197-5668
Jobbland AB,559430-3264
Just Development Sweden AB,559056-2772
K&M Ventures AB,559068-2760
Kdc Sweden AB,556983-5720
Kobolde & Partners AB,556571-1404
Kokai Consulting Sweden AB,559333-0086
Krobier AB,559296-4745
LK Medical AB,556905-5709
Lab One AB,559435-0190
Lectogo AB,559156-1484
Leneo AB,559374-4161
Likeligood AB,559148-9413
Linserv Aktiebolag,556625-9346
Livewrapped AB,559101-1969
Lvls Group AB,556414-1157
LÃ¤rbyrÃ¥n Digicy AB,556965-0186
Marvell Technology Sweden AB,556864-1285
Masternaut AB,556571-2766
Merlin & Metis AB,559331-2183
Metzum AB,559255-4132
Mice Bokningsbolaget AB,559210-8665
Midjiwan AB,556847-2053
Milence Sweden AB,559397-1673
Minocta AB,556695-9903
Mobe Transport AB,556867-2660
Mobione Aktiebolag,556613-1198
Montrima AB,559449-7850
Moviro AB,559323-0740
Mum Group AB,559138-1131
Mysafety Group AB,556313-5309
Mysoft AB,556532-8928
NO Ink AB,556838-4118
Nebulr AB,559277-6164
Netip AB,556634-3611
Nobody Bengt Hall AB,556691-8156
Norna AB,559157-0857
Northab AB,556911-3458
Novion Technologies AB,559229-8037
Now Interact Nordic AB,556800-7370
Nshift Solutions AB,556767-1408
Odd Raven Studios AB,559055-8432
Oddsify Holding AB,556905-4090
Perfect It Bex AB,556666-4156
Playground Dev AB,559372-2670
Polar 0x AB,559311-6196
Price Edge Solutions AB,556970-5840
Prime Penguin AB,559062-5264
Provectum System AB,556929-6238
Qbd Sweden AB,556660-0879
Qep Solutions AB,556960-5339
Qestit AB,556677-7214
Raynorex AB,559338-3739
Rebasian Technologies AB,559115-5170
Redbridge Technology AB,556865-8636
Redqube AB,556581-2806
Rektron Aktiebolag,556218-2161
Relatable AB,559036-6257
Relations By Elveberg AB,559010-7487
Rerun Technologies AB,559364-8644
Research Automators Sweden AB,556619-9740
Returbo AB,559185-5738
Rivr Technologies AB,559253-8499
Robert Malmgren Aktiebolag,556522-7633
Robyte Rosendahl Bygg & Teknik i Stockholm AB,556933-3759
Rocketship AB,556977-6767
Saturnus Advokatsystem AB,556236-1989
Scalstrm AB,559104-2477
Scrintal Labs AB,559258-1614
Sdl Tridion AB,556585-4063
Sensebit AB,556735-6588
Service Plus Stockholm AB,559326-3006
Sharpness AB,559359-2222
Shiki AB,556704-2865
Shyping AB,559415-0459
Sigtuna Gruppen Aktiebolag,556307-6446
Sinch Ab (Publ),556882-8908
Skira AB,559057-4900
Skrym AB,559243-8245
Sociallite Me AB,559212-4712
Soda Labs AB,559358-0912
Sofos Card Solutions Aktiebolag,556457-3565
Softarc AB,556600-2100
Sparrowhawk Systems AB,559394-0454
Springflod AB,556922-8157
Steffens Productions AB,559227-9003
Stellar Capacity AB,556964-5913
Stonebeach AB,556664-1840
Stormtac AB,556870-6849
Stretch Beyond AB,559415-5268
Strivr AB,559104-3632
Stroller AB,559106-0909
Studio Sblng AB,559366-2967
SundstrÃ¶m Stockholm AB,556577-4055
SvartskÃ¤gg AB,556908-8569
Svenska DomÃ¤ner Hosting AB,556669-9772
Svipe AB,559226-5689
Sweff Management AB,559012-1579
Swetrack Electronics AB,556942-3352
Talentspectra Sweden AB,559192-5630
Talex AB,556711-5844
Teksystems Gs (Sweden) AB,559211-9738
Teligent Telecom AB,556763-4901
Tendereasy Tms AB,556666-5211
The Ai Framework International AB,559288-1980
Think. Done. AB,559198-0767
Tidyapp Sweden AB,556733-9410
Tidypay Sverige AB,559374-0508
Tradeshift AB,556595-9169
Turbotic AB,559262-0677
TÃ¶rnros Fastigheter AB,559044-0805
Unica Media AB,556961-2624
United Insights AB,559153-2444
Unitedhours AB,559185-9722
Univid AB,559223-0865
Valsea Technology AB,556795-0836
Variant Sverige AB,559433-7999
Videoxlink Europe AB,559161-2071
View.Group Business Solutions Sweden AB,556936-8888
Violet Automation AB,559212-7640
Virki AB,559025-1046
Virtual Days AB,559312-2053
Visuera Integration AB,556212-8958
Vmlapp Sweden AB,559177-9144
Vvenues AB,559318-7031
Warpzone Studios AB,559071-1346
Webbfabriken Web And Security Solutions AB,559274-4816
Wennostra AB,559104-1206
